質問,日本語の回答,英語の回答
"トランザクションスナップショットとは何ですか？","スナップショットはトランザクション開始時（READ COMMITTEDでは文ごと）に取得され、「現時点でどのトランザクションが実行中か」を記録したものです。xminより小さいXIDのトランザクションはコミット済み、スナップショット内のXIDは実行中（不可視）、それ以外は対象外と判断します。","A snapshot is taken at transaction start (or per statement in READ COMMITTED) and records which transactions are currently in-progress. Transactions with XIDs less than the snapshot's xmin are committed, XIDs listed in the snapshot are in-progress (invisible), and others are outside the range."
"HOT（Heap Only Tuple）更新とは何ですか？","HOT更新は、インデックス列が変更されない行の更新を最適化する仕組みです。通常の更新ではインデックスに新しいエントリが追加されますが、HOTではヒープページ内で古いタプルから新しいタプルへのポインタチェーンを作成するだけで済みます。これによりインデックスの肥大化を防ぎます。","HOT (Heap Only Tuple) update is an optimization for row updates where indexed columns are not changed. While a normal update adds a new entry to the index, a HOT update only creates a pointer chain from the old tuple to the new one within the same heap page. This prevents index bloat."
"トランザクションIDのラップアラウンド問題とは何ですか？","PostgreSQLのトランザクションIDは32ビット整数で、約21億件の循環使用後にラップアラウンドが発生します。このとき適切に処理されないと、古いデータが「未来のデータ」として不可視になる危険があります。これを防ぐためにVACUUMがXIDをFrozenXIDに凍結（freeze）し、事実上「永遠に可視」にします。","PostgreSQL transaction IDs are 32-bit integers that wrap around after approximately 2.1 billion transactions. Without proper handling, old data can become invisible as it appears to be 'in the future.' To prevent this, VACUUM freezes row XIDs by replacing them with FrozenXID, making them permanently visible."
"shared_buffersとその適切な設定値について教えてください。","shared_buffersはPostgreSQLが共有バッファプールに使用するメモリ量です。頻繁にアクセスされるデータをキャッシュし、ディスクI/Oを削減します。一般的な推奨値はシステムRAMの25%で、例えば64GBのRAMなら16GB程度が目安です。ただしOSのページキャッシュも重要なので大きすぎるのも問題です。","shared_buffers is the amount of memory PostgreSQL uses for its shared buffer pool. It caches frequently accessed data to reduce disk I/O. A common recommendation is 25% of system RAM — for example, 16GB for a 64GB RAM system. However, setting it too large can be counterproductive since the OS page cache also plays an important role."
"work_memとは何ですか？","work_memは、ソートやハッシュテーブル操作などのクエリ内操作で使用できるメモリの上限です。この値を超えるとディスク上の一時ファイルが使用されます。注意点として、1つのクエリが複数の操作を持つ場合や、複数の接続が同時実行される場合、実際のメモリ使用量は work_mem × 接続数 × ノード数になり得ます。","work_mem is the maximum amount of memory that can be used for in-query operations such as sorts and hash tables. If this limit is exceeded, temporary files on disk are used instead. Note that actual memory usage can be work_mem × number of connections × number of nodes per query, since one query can use multiple operations."
"バッファ置換アルゴリズム（クロックスイープ）を説明してください。","PostgreSQLのバッファプールはクロックスイープアルゴリズムを使ってバッファを置換します。各バッファには使用カウント（usage count）があり、アクセスされるたびに増加します。置換候補を探す際、ポインタを時計回りに進めながら使用カウントを1ずつ減らし、カウントが0になったバッファを置換対象にします。","PostgreSQL's buffer pool uses the clock sweep algorithm for buffer replacement. Each buffer has a usage count that increases when accessed. To find a replacement candidate, a pointer sweeps clockwise through the buffer pool, decrementing each buffer's usage count until it finds one with a count of zero, which is then evicted."
"BGライター（background writer）の役割は何ですか？","BGライターはダーティバッファを定期的にディスクに書き出すバックグラウンドプロセスです。チェックポイント時のI/O集中を緩和するために、チェックポイントより前にダーティページを徐々に書き出します。bgwriter_delay、bgwriter_lru_maxpages、bgwriter_lru_multiplierなどで動作を制御します。","The background writer (bgwriter) is a background process that periodically writes dirty buffers to disk. It gradually flushes dirty pages ahead of checkpoints to reduce I/O spikes at checkpoint time. Its behavior is controlled by parameters like bgwriter_delay, bgwriter_lru_maxpages, and bgwriter_lru_multiplier."
"クエリ実行の流れ（パイプライン）を説明してください。","クライアントからSQLが送信されると、まずパーサーが構文解析して解析ツリーを生成します。次にアナライザーが意味解析（テーブル名解決など）を行い、書き換えルールシステムがビューなどを展開します。プランナーが実行計画（プランツリー）を生成し、最後にエグゼキューターがプランに基づいて実際のデータアクセスを行います。","When a client sends SQL, the parser first performs syntax analysis and generates a parse tree. The analyzer then performs semantic analysis (e.g., table name resolution), and the rewriter expands views and applies rewrite rules. The planner generates an execution plan (plan tree), and finally the executor accesses the actual data according to the plan."
"コストベース最適化（CBO）とは何ですか？","コストベース最適化は、複数の実行計画候補のコスト（I/Oコスト＋CPUコスト）を推定し、最もコストが低い計画を選択する手法です。PostgreSQLのプランナーは、pg_statisticに保存された統計情報（行数、ヒストグラム、頻出値）と各コストパラメータ（seq_page_cost、random_page_costなど）を使ってコストを計算します。","Cost-based optimization estimates the cost (I/O cost + CPU cost) of multiple execution plan candidates and selects the one with the lowest estimated cost. PostgreSQL's planner uses statistics stored in pg_statistic (row counts, histograms, most common values) and cost parameters like seq_page_cost and random_page_cost to calculate costs."
"ANALYZEコマンドの役割を説明してください。","ANALYZEはテーブルのサンプリングを行い、統計情報（行数、列の平均サイズ、ヒストグラム、最頻値、NULL率など）をpg_statisticカタログに記録します。プランナーはこの統計情報を基にカーディナリティ（結果行数）を推定し、最適な実行計画を選択します。autovacuumによって自動的に実行されます。","ANALYZE samples table data and records statistics (row count, average column size, histograms, most common values, NULL fraction, etc.) in the pg_statistic catalog. The planner uses these statistics to estimate cardinality (number of result rows) and select the optimal execution plan. ANALYZE is automatically run by autovacuum."
"EXPLAIN ANALYZEの出力をどのように解釈しますか？","EXPLAIN ANALYZEは実行計画とともに実際の実行統計を出力します。各ノードに対して、cost（推定コスト）、rows（推定行数）、actual time（実際の実行時間）、actual rows（実際の行数）、loops（ループ回数）が表示されます。推定値と実際値の乖離が大きいノードが最適化のボトルネックです。","EXPLAIN ANALYZE outputs the execution plan along with actual runtime statistics. For each node, it shows: cost (estimated cost), rows (estimated row count), actual time (actual execution time), actual rows (actual row count), and loops (number of loop iterations). Large discrepancies between estimated and actual values indicate optimization bottlenecks."
"B-treeインデックスの構造と特性を説明してください。","PostgreSQLのデフォルトインデックスであるB-treeはバランスド木構造で、ルートノードからリーフノードへの探索パスの深さが均一です。等値条件（=）、範囲条件（<, >, BETWEEN）、ORDER BY、IS NULL/IS NOT NULLのすべてに対応します。通常8KBのページで構成され、リーフノードでは物理的なヒープタプルへのポインタ（TID）を保持します。","PostgreSQL's default index type, B-tree, is a balanced tree structure where the depth from the root to any leaf node is uniform. It supports equality conditions (=), range conditions (<, >, BETWEEN), ORDER BY, and IS NULL/IS NOT NULL. Pages are typically 8KB, and leaf nodes hold pointers (TIDs) to physical heap tuples."
"GINインデックスとはどのような場合に使いますか？","GIN（Generalized Inverted Index）は、配列や全文検索（tsvector）など、複数の要素を含む値のインデックスに適しています。各要素をキーとして転置インデックスを構築し、「この要素を含む行はどれか」という検索を高速化します。jsonbカラムの@>や、full-text searchのto_tsquery検索に使われます。","GIN (Generalized Inverted Index) is well-suited for indexing values that contain multiple elements, such as arrays or full-text search (tsvector). It builds an inverted index with each element as a key, enabling fast searches like 'which rows contain this element?' It is used for jsonb's @> operator and full-text search with to_tsquery."
"GiSTインデックスはどのような用途に使われますか？","GiST（Generalized Search Tree）は、通常のB-treeでは扱えない複雑なデータ型のためのインデックスフレームワークです。PostGISの空間データ（ポイント、ポリゴン）、範囲型（int4range）、全文検索（tsquery）などに使用されます。ユーザーがインデックスアクセスメソッドを実装できる拡張可能な構造です。","GiST (Generalized Search Tree) is an extensible index framework for complex data types that cannot be handled by a regular B-tree. It is used for spatial data (points, polygons) in PostGIS, range types (int4range), and full-text search (tsquery). Users can implement their own index access methods using the GiST framework."
"BRINインデックスとはどのような場合に適していますか？","BRIN（Block Range Index）は、物理的に隣接するブロックの範囲ごとに最小値・最大値などのサマリー情報だけを保存する非常にコンパクトなインデックスです。時系列データや、挿入順序と値の相関が高いカラム（注文日時など）に非常に有効です。インデックスサイズはB-treeの何百分の一にもなりますが、精度はブロック範囲単位です。","BRIN (Block Range Index) is a very compact index that stores only summary information (e.g., min/max values) per range of physical blocks. It is highly effective for time-series data or columns with high correlation between physical order and value order (e.g., order timestamps). The index size can be hundreds of times smaller than a B-tree, but precision is at the block range level."
"Index Only Scanとは何ですか？","Index Only Scanは、ヒープを参照せずインデックスだけから必要なデータを取得するスキャン方法です。クエリが参照するすべての列がインデックスに含まれている場合に使用されます。ただし、可視性の確認のためVisiblity Map（VM）を参照する必要があり、VMでオールビジブルでないページはヒープを参照します。","Index Only Scan retrieves the required data from the index alone without accessing the heap. It is used when all columns referenced by the query are included in the index. However, it must consult the Visibility Map (VM) to verify row visibility, and for pages not marked all-visible in the VM, it falls back to the heap."
"VACUUMの目的と仕組みを説明してください。","VACUUMには主に2つの目的があります。1つ目はMVCCの仕組みで生成された不要な行バージョン（デッドタプル）を回収してページの空き領域を再利用可能にすること、2つ目はトランザクションIDのラップアラウンドを防ぐためにxminをFrozenXIDに凍結することです。通常のVACUUMはテーブルロックを取得せずに動作します。","VACUUM has two main purposes. First, it reclaims dead tuples (obsolete row versions created by MVCC) and makes their space reusable within the page. Second, it freezes old xmin values to FrozenXID to prevent transaction ID wraparound. Normal VACUUM runs without acquiring a table lock."
"autovacuumとは何ですか？","autovacuumはVACUUMとANALYZEを自動的に実行するPostgreSQLの機能です。autovacuumランチャーが各データベースを監視し、pg_stat_user_tablesのデッドタプル数や変更行数が閾値（autovacuum_vacuum_thresholdとautovacuum_vacuum_scale_factor）を超えるとautovacuumワーカーを起動します。","Autovacuum is PostgreSQL's feature for automatically running VACUUM and ANALYZE. The autovacuum launcher monitors each database, and when the number of dead tuples or changed rows in pg_stat_user_tables exceeds thresholds (autovacuum_vacuum_threshold and autovacuum_vacuum_scale_factor), it starts autovacuum workers."
"VACUUM FULLと通常のVACUUMの違いは何ですか？","通常のVACUUMはデッドタプルをページ内でマークするだけで、テーブルの物理サイズは縮小しません。VACUUM FULLはテーブルを完全に書き直し（新しいファイルを作成）、テーブルの物理サイズを縮小します。ただしVACUUM FULLはACC EXCLUSIVE LOCKを取得するため、実行中はすべての読み書きがブロックされます。","Normal VACUUM marks dead tuples as reusable space within pages but does not shrink the table's physical size. VACUUM FULL rewrites the entire table (creates a new file) and shrinks the physical size. However, VACUUM FULL acquires an ACCESS EXCLUSIVE LOCK, blocking all reads and writes during execution."
"フリースペースマップ（FSM）とビジビリティマップ（VM）を説明してください。","FSM（Free Space Map）はpg_fsmファイルに格納され、各ページの使用可能な空き領域の量を追跡します。INSERT/UPDATEの際にFSMを参照して書き込み先ページを選択します。VM（Visibility Map）はpg_vmファイルに格納され、ページ内のすべてのタプルが全トランザクションから可視かどうか（all-visible）とFreezeされているかを追跡します。","The FSM (Free Space Map), stored in pg_fsm files, tracks the amount of free space available in each page. It is consulted during INSERT/UPDATE to find a suitable page for writing. The VM (Visibility Map), stored in pg_vm files, tracks whether all tuples in a page are visible to all transactions (all-visible) and whether they have been frozen."
"PostgreSQLのロックの種類を説明してください。","PostgreSQLのロックには複数のレベルがあります。テーブルレベルロック（ACCESS SHARE、ROW SHARE、ROW EXCLUSIVE、SHARE UPDATE EXCLUSIVE、SHARE、SHARE ROW EXCLUSIVE、EXCLUSIVE、ACCESS EXCLUSIVE）と、行レベルロック（FOR KEY SHARE、FOR SHARE、FOR NO KEY UPDATE、FOR UPDATE）があります。さらに、デッドロック検出のためのロックマネージャーが存在します。","PostgreSQL has multiple levels of locks. Table-level locks include ACCESS SHARE, ROW SHARE, ROW EXCLUSIVE, SHARE UPDATE EXCLUSIVE, SHARE, SHARE ROW EXCLUSIVE, EXCLUSIVE, and ACCESS EXCLUSIVE. Row-level locks include FOR KEY SHARE, FOR SHARE, FOR NO KEY UPDATE, and FOR UPDATE. A lock manager handles deadlock detection."
"デッドロックはどのように検出・処理されますか？","PostgreSQLはデッドロックを定期的なデッドロック検出アルゴリズムで発見します。ロック待機グラフを構築し、サイクルが見つかった場合にデッドロックと判断します。デッドロックを検出すると、関係するトランザクションの1つをアボートしてデッドロックを解消します。deadlock_timeout（デフォルト1秒）でチェック間隔を制御します。","PostgreSQL detects deadlocks using a periodic deadlock detection algorithm. It builds a lock-wait graph and identifies cycles to determine a deadlock. When a deadlock is detected, one of the involved transactions is aborted to resolve it. The deadlock_timeout parameter (default 1 second) controls how long PostgreSQL waits before checking for deadlocks."
"Advisory Lockとは何ですか？","Advisory Lockはアプリケーション定義のロックで、PostgreSQLのロックマネージャーが管理しますがデータベースオブジェクトとは紐付いていません。pg_advisory_lock()などの関数で明示的に取得・解放します。アプリケーションレベルのクリティカルセクションや、ジョブスケジューリングの重複実行防止に利用されます。セッションレベルとトランザクションレベルの2種類があります。","Advisory locks are application-defined locks managed by PostgreSQL's lock manager but not tied to any specific database object. They are explicitly acquired and released using functions like pg_advisory_lock(). They are used for application-level critical sections or preventing duplicate execution of scheduled jobs. There are two types: session-level and transaction-level."
"トランザクション分離レベルをそれぞれ説明してください。","PostgreSQLはSQL標準の4つの分離レベルをサポートします。READ UNCOMMITTED（実際はREAD COMMITTEDと同等）ではコミットされていないデータを読む可能性があります（ただしPostgreSQLでは発生しない）。READ COMMITTEDでは文実行時点のスナップショットを使用し、Non-repeatable readが発生します。REPEATABLE READではトランザクション開始時のスナップショットを使用し、ファントムリードを防ぎます。SERIALIZABLEではSSIにより完全な直列化可能性を保証します。","PostgreSQL supports four SQL standard isolation levels. READ UNCOMMITTED (equivalent to READ COMMITTED in PostgreSQL) can theoretically read uncommitted data (but does not occur in PostgreSQL). READ COMMITTED uses a per-statement snapshot and allows non-repeatable reads. REPEATABLE READ uses a transaction-start snapshot and prevents phantom reads. SERIALIZABLE uses SSI (Serializable Snapshot Isolation) to guarantee full serializability."
"SSI（Serializable Snapshot Isolation）とはどのように実装されていますか？","SSIはPostgreSQL 9.1から導入された、ロックを最小限にしたシリアライザブル分離レベルの実装です。Write-Skewなどの異常を検出するため、siread lockと呼ばれる読み取り依存関係の追跡を行い、危険な依存サイクルが形成された場合にトランザクションをアボートします。pg_stat_activityのwait_event_typeでSSIロック待ちを確認できます。","SSI (Serializable Snapshot Isolation) is the implementation of the serializable isolation level in PostgreSQL, introduced in version 9.1, with minimal use of traditional locks. To detect anomalies like write skew, it tracks read dependencies using siread locks and aborts transactions when a dangerous dependency cycle is detected."
"セーブポイントとはどのように機能しますか？","SAVEPOINTを使うと、トランザクション内の特定の時点を記録でき、エラー発生時にROLLBACK TO SAVEPOINTでその時点まで巻き戻すことができます。これにより、トランザクション全体をロールバックすることなく部分的なエラーから回復できます。内部的にはSubtransaction（サブトランザクション）として実装されており、独自のXIDを持ちます。","SAVEPOINT allows you to mark a specific point within a transaction, and if an error occurs, ROLLBACK TO SAVEPOINT can rewind to that point. This enables partial error recovery without rolling back the entire transaction. Internally, savepoints are implemented as subtransactions with their own XIDs."
"ストリーミングレプリケーションの仕組みを説明してください。","ストリーミングレプリケーションでは、プライマリサーバーのWALログをWAL senderプロセスがスタンバイサーバーのWAL receiverプロセスにリアルタイムで送信します。スタンバイはWALをwal_receiverで受信し、startupプロセスがそれを適用（redo）してプライマリと同じ状態を維持します。同期レプリケーション（synchronous_commit）と非同期レプリケーションが選択できます。","In streaming replication, the WAL sender process on the primary server continuously streams WAL records to the WAL receiver process on the standby server. The standby receives WAL via the WAL receiver and the startup process applies (redoes) it to maintain the same state as the primary. You can choose between synchronous replication (using synchronous_commit) and asynchronous replication."
"同期レプリケーションと非同期レプリケーションの違いは何ですか？","同期レプリケーション（synchronous_commit = on/remote_apply等）では、プライマリはスタンバイがWALを受信（またはディスクに書き込み、またはアプライ）するまでコミットをクライアントに返しません。これによりデータロスがゼロになりますが、スタンバイとのネットワーク遅延が書き込み性能に影響します。非同期では遅延は小さいですが、フェイルオーバー時に少量のデータロスが発生する可能性があります。","With synchronous replication (synchronous_commit = on/remote_apply etc.), the primary does not return a commit acknowledgment to the client until the standby has received (or written, or applied) the WAL. This guarantees zero data loss but write performance is affected by network latency to the standby. Asynchronous replication has lower latency but may result in a small amount of data loss during failover."
"論理レプリケーションとストリーミングレプリケーションの違いは？","ストリーミングレプリケーションは物理レベル（バイト単位のページ変更）でWALをレプリケートするため、スタンバイはプライマリと同じバージョン・構成でなければなりません。論理レプリケーションはROWレベルの変更を論理デコードして送信するため、異なるPostgreSQLバージョン間のレプリケーション、テーブル単位の選択的レプリケーション、双方向レプリケーションが可能です。","Streaming replication replicates WAL at the physical level (byte-level page changes), so the standby must have the same PostgreSQL version and configuration as the primary. Logical replication decodes changes at the row level and transmits them logically, enabling replication between different PostgreSQL versions, selective per-table replication, and bidirectional replication."
"wal_levelパラメータの各設定値を説明してください。","wal_levelはWALに記録する情報量を制御します。minimal（最小限）はクラッシュリカバリに必要な情報のみ、replica（デフォルト）はストリーミングレプリケーションとWALアーカイビングに必要な情報を追加、logicalは論理レプリケーション（論理デコード）に必要なオブジェクト識別情報も追加します。上位のレベルほどWALの書き込み量が増加します。","wal_level controls the amount of information written to WAL. minimal records only the information needed for crash recovery. replica (default) adds information needed for streaming replication and WAL archiving. logical adds object identification information required for logical replication (logical decoding). Higher levels produce more WAL data."
"ヒープファイルとページ（ブロック）の構造を説明してください。","PostgreSQLのテーブルデータはヒープファイルに格納され、デフォルト8192バイトのページ（ブロック）に分割されています。各ページはPageHeaderData（LSN、フラグ等）、ラインポインタ配列（タプルへのオフセット）、実際のタプルデータ（ページの末尾から前方へ）、空き領域（中央部）で構成されます。","PostgreSQL table data is stored in heap files, divided into pages (blocks) of 8192 bytes by default. Each page consists of: PageHeaderData (LSN, flags, etc.), a line pointer array (offsets to tuples), actual tuple data (growing backward from the end of the page), and free space (in the middle)."
"TOASTとは何ですか？","TOAST（The Oversized-Attribute Storage Technique）は、8KBのページに収まらない大きな値を扱う仕組みです。2KBを超える属性値は自動的に別のTOASTテーブルに格納されます。圧縮（pglz/lz4）、アウトオブライン格納、またはその両方を組み合わせます。pg_attribute.attstorage列で各列のTOAST戦略を確認・変更できます。","TOAST (The Oversized-Attribute Storage Technique) handles large values that do not fit in an 8KB page. Attribute values exceeding 2KB are automatically stored in a separate TOAST table. It uses compression (pglz/lz4), out-of-line storage, or a combination of both. Each column's TOAST strategy can be checked and changed via the pg_attribute.attstorage column."
"プランノード（シーケンシャルスキャン、インデックススキャン等）の使い分けを説明してください。","プランナはコスト比較に基づいてスキャン方法を選択します。Seq Scanはテーブル全体を順次読み取り、大量データを返す場合や統計的な利点がない場合に選ばれます。Index Scanはインデックスでタプルを特定しヒープにアクセスします。Index Only Scanはインデックスのみで完結します。Bitmap Index ScanはBitmap Heap Scanと組み合わせ、複数インデックスの結果をORやANDで結合できます。","The planner selects a scan method based on cost comparison. Seq Scan reads the entire table sequentially and is chosen when returning large amounts of data or when there is no statistical advantage to using an index. Index Scan locates tuples via the index and accesses the heap. Index Only Scan is satisfied entirely from the index. Bitmap Index Scan, combined with Bitmap Heap Scan, can combine results from multiple indexes using OR or AND."
"結合アルゴリズム（Nested Loop、Hash Join、Merge Join）の違いを説明してください。","Nested Loop Joinは外側の行ごとに内側を繰り返し走査するシンプルな手法で、小さな結果セットや内側にインデックスがある場合に有効です。Hash Joinは内側のテーブルをハッシュテーブルに構築し、外側の行でプローブします。Merge Joinは両方のテーブルがソート済みである場合に効率的です。プランナはコストとwork_memを考慮して選択します。","Nested Loop Join scans the inner table repeatedly for each outer row. It is effective for small result sets or when the inner side has an index. Hash Join builds a hash table from the inner table and probes it with outer rows. Merge Join is efficient when both tables are already sorted. The planner selects based on cost estimates and available work_mem."
"並列クエリはどのように動作しますか？","並列クエリではリーダープロセスが複数のワーカープロセスをforkし、テーブルスキャンや集計などをパラレルに実行します。Gather/Gather MergeノードがワーカーからのデータをDynamic Shared Memoryを介して受け取り結合します。max_parallel_workersやmax_parallel_workers_per_gatherで並列度を制御します。すべての操作が並列化できるわけではなく、シリアルな部分も存在します。","In parallel query, the leader process forks multiple worker processes that execute table scans, aggregations, etc. in parallel. The Gather or Gather Merge node collects results from workers via Dynamic Shared Memory and combines them. The degree of parallelism is controlled by max_parallel_workers and max_parallel_workers_per_gather. Not all operations can be parallelized, so some serial parts still exist."
"部分インデックス（Partial Index）とはどのようなものですか？","部分インデックスはWHERE句でインデックス対象行を限定したインデックスです。例えば「CREATE INDEX idx ON orders(user_id) WHERE status = 'active'」のように特定条件の行だけをインデックス化します。インデックスサイズが小さくなり、メンテナンスコストも低減します。その条件が頻繁に使用されるクエリに対して非常に効果的です。","A partial index is an index that covers only a subset of rows, defined by a WHERE clause. For example: CREATE INDEX idx ON orders(user_id) WHERE status = 'active'. Only matching rows are indexed, resulting in a smaller index size and lower maintenance cost. This is very effective for queries that frequently filter on the indexed condition."
"式インデックス（Expression Index / Functional Index）とは何ですか？","式インデックスはカラムの値そのものではなく、カラムに対する式や関数の結果をインデックス化します。例えば「CREATE INDEX idx ON users(lower(email))」とすると、大文字小文字を無視した検索でインデックスが利用されます。ただし式の評価が必要なためINSERT/UPDATEのオーバーヘッドが増加します。","An expression index (also called a functional index) indexes the result of an expression or function applied to a column, rather than the column value itself. For example: CREATE INDEX idx ON users(lower(email)). This allows the index to be used for case-insensitive email searches. However, it adds overhead to INSERT/UPDATE since the expression must be evaluated."
"pg_stat_statementsとは何ですか？","pg_stat_statementsはPostgreSQLの拡張で、実行されたすべてのSQLの実行回数、合計実行時間、最大実行時間、読み書き行数、バッファヒット率などの統計を収集します。パフォーマンスチューニングにおいて最も頻繁に使用されるツールの一つで、低速クエリや高頻度クエリの特定に役立ちます。","pg_stat_statements is a PostgreSQL extension that collects statistics for all executed SQL statements, including execution count, total execution time, maximum execution time, rows read/written, and buffer hit ratio. It is one of the most frequently used tools for performance tuning, helping to identify slow queries and high-frequency queries."
